Carimbo de data/hora;TEMPO DE CASA;ÁREA DE TRABALHO:;ESTE É UM LUGAR DESCONTRAIDO PARA TRABALHAR;EU RECEBO EQUIPAMENTOS E RECURSOS NECESSÁRIOS PARA REALIZAR MEU TRABALHO;EU GOSTO DE IR TRABALHAR TODAS AS MANHÃS;ESTE É UM LUGAR FISICAMENTE SEGURO PARA TRABALHAR;AS PESSOAS AQUI ESTÃO DISPOSTAS A DAR MAIS DE SI PARA CONCLUIR O TRABALHO;POSSO FAZER QUALQUER PERGUNTA RAZOAVEL AO LIDER DE AREA E OBTER RESPOSTAS DIRETAS;A EMPRESA ME OFERECE TREINAMENTO E OUTRAS FORMAS DE DESENVOLVIMENTO PARA O MEU CRESCIMENTO PROFISSIONAL;POSSUO HABILIDADES NECESSARIAS PARA ATUAR NESTE TRABALHO;O LIDER DE AREA AGRADECE O BOM TRABALHO E O ESFORÇO EXTRA;AS PESSOAS AQUI SÃO REMUNERADAS ADEQUADAMENTE EM RELAÇÃO AO MERCADO;OS BENEFICIOS SÃO ADEQUADOS EM RELAÇÃO AO MERCADO;PARA MIM, NÃO É SÓ “MAIS UM EMPREGO”. MEU TRABALHO TEM UM SENTIDO ESPECIAL.;O LIDER DE AREA INCENTIVA IDEIAS E SUGESTÕES E AS LEVAM EM CONSIDERAÇÃO DE FORMA SINCERA;QUANDO VEJO O QUE FAZEMOS POR AQUI, SINTO ORGULHO;O LIDER DE AREA ME MANTÊM INFORMADO SOBRE ASSUNTOS IMPORTANTES E SOBRE MUDANÇAS NA ORGANIZAÇÃO;O LIDER DE AREA TEM UMA VISÃO CLARA DE PARA ONDE ESTAMOS INDO E COMO FAZER PARA CHEGAR LÁ;O LIDER DE AREA ENVOLVE PESSOAS EM DECISÕES A SEREM TOMADAS;O LIDER DE AREA SABE COORDENAR PESSOAS E DISTRIBUIR TAREFAS ADEQUADAMENTE;POSSO SER EU MESMO POR AQUI;AQUI AS PESSOAS SE IMPORTAM UMA COM AS OUTRAS;O LIDER DE AREA AGE DE ACORDO COM O QUE FALA;NOSSAS INSTALAÇÕES CONTRIBUEM PARA UM BOM AMBIENTE DE TRABALHO;TENHO ORGULHO DE CONTAR AS PESSOAS QUE TRABALHO AQUI;EXISTE UM SENTIMENTO DE “FAMILIA” OU “EQUIPE” POR AQUI;NÓSSempre COMEMORAMOS EVENTOS ESPECIAIS;ACREDITO QUE O LIDER DE AREA SÓ PROMOVE REDUÇÕES DE QUADRO COMO ÚLTIMO RECURSO;SE EU FOR TRATADO INJUSTAMENTE, ACREDITO QUE SEREI OUVIDO E ACABAREI RECEBENDO UM TRATAMENTO JUSTO;O LIDER DE AREA MOSTRA INTERESSE SINCERO POR MIM COMO PESSOA E NÃO SOMENTE COMO EMPREGADO;EU ME SINTO FELIZ EM FAZER PARTE DESTA EMPRESA;PRETENDO TRABALHAR AQUI POR MUITO TEMPO;EU SOU CONSIDERADO IMPORTANTE INDEPENDENTEMENTE DE MINHA POSIÇÃO NA EMPRESA;SINTO QUE EU FAÇO A DIFERENÇA AQUI;QUANDO SE ENTRA NESTA EMPRESA, FAZEM VOCÊ SE SENTIR BEM-VINDO;O LIDER DE AREA CONTRATA PESSOAS QUE SE ENQUADRAM BEM AQUI;O PRINCIPAL MOTIVO QUE ME FAZ PERMANECER NA EMPRESA É:;O QUE TORNA A EMPRESA UM BOM LUGAR PARA TRABALHAR:;O QUE PRECISA SER MELHORADO NA SUA EMPRESA EM GERAL, INCLUINDO BENEFICIOS?;ONDE VOCÊ QUER ESTAR DAQUI 5 ANOS?;ANO;Gênero
14/05/2025 16:28;Entre 1 e 5 anos;Administrativo: Financeiro / Faturamento / RH;Na maioria das vezes;Algumas Vezes;Na maioria das vezes;Às vezes;Às vezes;Na maioria das vezes;Sempre;Na maioria das vezes;Na maioria das vezes;Algumas Vezes;Algumas Vezes;Às vezes;Na maioria das vezes;Na maioria das vezes;Na maioria das vezes;Na maioria das vezes;Na maioria das vezes;Na maioria das vezes;Na maioria das vezes;Algumas Vezes;Na maioria das vezes;Às vezes;Às vezes;Algumas Vezes;Sempre;Sempre;Na maioria das vezes;Na maioria das vezes;Na maioria das vezes;Na maioria das vezes;Na maioria das vezes;Na maioria das vezes;Às vezes;Algumas Vezes;gosto do que faço e a empresa é flexível quando o assunto é família.;acredito no potencial da empresa.;benefícios e plano de carreiras;Pretendo estar trabalhando aqui, me desenvolvendo na minha área, trazendo melhorias nos processos e agregando bastante.;2025;Feminino
15/05/2025 13:50;Entre 1 e 5 anos;Operação Elasa;Algumas Vezes;Sempre;Na maioria das vezes;Sempre;Algumas Vezes;Na maioria das vezes;Algumas Vezes;Sempre;Nunca;Nunca;Nunca;Sempre;Nunca;Algumas Vezes;Nunca;Às vezes;Nunca;Na maioria das vezes;Às vezes;Nunca;Na maioria das vezes;Sempre;Às vezes;Nunca;Sempre;Algumas Vezes;Nunca;Nunca;Algumas Vezes;Na maioria das vezes;Nunca;Às vezes;Às vezes;Às vezes;Minha filha;pagamento em dia;Salario e beneficio;com minha familia bem de vida estruturado ganhando bem provento uma vida melhor para minha familia;2025;Masculino
15/05/2025 14:01;Até 1 ano;Operação Elasa;Algumas Vezes;Sempre;Sempre;Sempre;Às vezes;Na maioria das vezes;Na maioria das vezes;Sempre;Na maioria das vezes;Na maioria das vezes;Sempre;Na maioria das vezes;Na maioria das vezes;Na maioria das vezes;Na maioria das vezes;Algumas Vezes;Na maioria das vezes;Sempre;Na maioria das vezes;Nunca;Às vezes;Sempre;Às vezes;Algumas Vezes;Sempre;Na maioria das vezes;Na maioria das vezes;Na maioria das vezes;Sempre;Sempre;Às vezes;Na maioria das vezes;Sempre;Sempre;salario, beneficios;salario;por enquanto nada;nao sei ainda;2025;Masculino
15/05/2025 14:12;Entre 6 e 10 anos;Operação Elasa;Às vezes;Na maioria das vezes;Algumas Vezes;Algumas Vezes;Algumas Vezes;Nunca;Algumas Vezes;Sempre;Nunca;Nunca;Algumas Vezes;Algumas Vezes;Algumas Vezes;Algumas Vezes;Algumas Vezes;Nunca;Nunca;Algumas Vezes;Algumas Vezes;Nunca;Nunca;Algumas Vezes;Algumas Vezes;Algumas Vezes;Algumas Vezes;Algumas Vezes;Nunca;Algumas Vezes;Algumas Vezes;Algumas Vezes;Sempre;Sempre;Algumas Vezes;Nunca;planos futuro;qualidade no ambiente;um salário melhor , ticket melhor e um convênio com unidades mais proximas;nessa mesma empresa (se houver mudanças e bom reconhecimento );2025;Masculino
15/05/2025 14:30;Entre 10 e 20 anos;Operação Elasa;Sempre;Sempre;Sempre;Sempre;Algumas Vezes;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Às vezes;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Às vezes;Sempre;Às vezes;nao sei;sao sei;sao sei;sao sei;2025;Masculino
15/05/2025 14:37;Entre 1 e 5 anos;Operação Elasa;Na maioria das vezes;Na maioria das vezes;Na maioria das vezes;Na maioria das vezes;Algumas Vezes;Algumas Vezes;Sempre;Na maioria das vezes;Nunca;Nunca;Nunca;Sempre;Nunca;Sempre;Nunca;Nunca;Nunca;Nunca;Às vezes;Nunca;Algumas Vezes;Sempre;Sempre;Às vezes;Algumas Vezes;Na maioria das vezes;Nunca;Nunca;Sempre;Sempre;Na maioria das vezes;Sempre;Sempre;Algumas Vezes;Me sinto importante, gosto do que faço, fiz grandes amizades, aprendo algo novo todos os dias e também por conta da oportunidade de estudar e buscar crescimento profissional e pessoal.;O ambiente, os amigos e o sentimento de fazer parte de algo maior.;Se aproximar mais do piso salarial de operadores de maquina e um vale alimentação mais adequado devido ao aumento da inflação. E conter um plano de carreira com mais clareza do que fazer, como fazer e onde se pode chegar.;Quero ser um bom programador, ajudando a empresa a crescer ainda mais através da tecnologia, levando o sustento para minha família.;2025;Masculino
15/05/2025 14:54;Entre 10 e 20 anos;Operação Elasa;Às vezes;Na maioria das vezes;Na maioria das vezes;Na maioria das vezes;Algumas Vezes;Às vezes;Na maioria das vezes;Sempre;Algumas Vezes;Nunca;Nunca;Algumas Vezes;Às vezes;Às vezes;Às vezes;Às vezes;Algumas Vezes;Nunca;Algumas Vezes;Algumas Vezes;Algumas Vezes;Na maioria das vezes;Às vezes;Algumas Vezes;Às vezes;Nunca;Nunca;Algumas Vezes;Às vezes;Algumas Vezes;Algumas Vezes;Sempre;Às vezes;Algumas Vezes;contas de casa e objetivos pessoais.;o ambiente.;Precisa melhorar muito em beneficios ( vale alimentacao, 450$ nao da mais para fazer metade de uma compra) (convenio medico). e tambem o tratamento correto e de igual com todos os funcionarios.;Possivelmente em outra empresa. mais gostaria muito de terminar minha faculdade e ser reconhecido aqui e continuar como colaborador.;2025;Masculino
15/05/2025 15:00;Até 1 ano;Operação Elasa;Algumas Vezes;Na maioria das vezes;Sempre;Sempre;Sempre;Nunca;Às vezes;Sempre;Nunca;Na maioria das vezes;Nunca;Sempre;Nunca;Sempre;Nunca;Nunca;Nunca;Nunca;Sempre;Às vezes;Nunca;Sempre;Na maioria das vezes;Às vezes;Sempre;Nunca;Nunca;Nunca;Sempre;Sempre;Sempre;Sempre;Sempre;Nunca;a empresa e o ambiente de trabalho;trabalhar em equipe;aumentar o salario;nao sei;2025;Feminino
15/05/2025 15:23;Até 1 ano;Operação Elasa;Na maioria das vezes;Às vezes;Às vezes;Sempre;Sempre;Sempre;Sempre;Na maioria das vezes;Às vezes;Na maioria das vezes;Sempre;Na maioria das vezes;Algumas Vezes;Na maioria das vezes;Algumas Vezes;Às vezes;Na maioria das vezes;Na maioria das vezes;Sempre;Na maioria das vezes;Na maioria das vezes;Sempre;Na maioria das vezes;Sempre;Às vezes;Na maioria das vezes;Na maioria das vezes;Às vezes;Na maioria das vezes;Na maioria das vezes;Às vezes;Às vezes;Na maioria das vezes;Na maioria das vezes;poder conquistar minhas coisas ajuda minha familia contribuir com a empresa;segurança,banheiros limpos, um otimo lugar pra voce se alimentar, espaço pra trabalhar;salario, ventilaçao, umas cadeiras melhor;continuar sendo proativo com a empresa, continuar conquistando minhas meu objetivos e podendo ajudar no que for preciso;2025;Masculino
15/05/2025 15:32;Entre 6 e 10 anos;Operação Elasa;Às vezes;Algumas Vezes;Às vezes;Às vezes;Às vezes;Algumas Vezes;Algumas Vezes;Às vezes;Algumas Vezes;Nunca;Às vezes;Algumas Vezes;Algumas Vezes;Algumas Vezes;Às vezes;Às vezes;Às vezes;Nunca;Algumas Vezes;Às vezes;Nunca;Na maioria das vezes;Às vezes;Às vezes;Algumas Vezes;Na maioria das vezes;Nunca;Algumas Vezes;Algumas Vezes;Nunca;Nunca;Nunca;Nunca;Nunca;RESPONSABILIDADE;RESPEITO, ÉTICA, E SENSO;ACHO QUE CATEGORIZAR OS CARGOS DANDO UM SALÁRIO DECENTE DE ACORDO COM O DESEMPENHO E TEMPO DE CASA E DE BENEFÍCIOS REVER O VA, UM CONVÉNIO MELHOR E VISANDO ALGO QUE EU IRIA GOSTAR PARTICULARMENTE UM GYM PASS;QUERO ESTAR EM UM AMBIENTE DE SUCESSO. E COM NOVOS DESAFIOS ONDE DESEMPENHO SEJA O SUFICIENTE PARA CRESCER COMO PROFISSIONAL E NAO FICAR PUXANDO SACO DE SUPERIORES. ESPERO QUE SEJA AQUI ONDE COMECEI MINHA CARREIRA PROFISSIONAL COM MEUS AMIGOS;2025;Masculino
